objectID,objectName,title,artistDisplayName,objectDate,medium,dimensions,city,classification,description,image_array,Question1,Answer1,Question2,Answer2,Question3,Answer3,Question4,Answer4
1986,Chess set,Chess set,,ca. 1800,"Lacquered wood, ivory",Board: 1 3/4 x 16 5/8 x 16 5/8 in. (4.4 x 42.2 x 42.2 cm),,,"The game of chess probably originated in India, where ivory chess pieces have been found dating as far back as the eighth century. This set and board were made for the Western market but are distinguished from the majority of export pieces by their exquisitely intricate carving. The use of red and white figures instead of black and white is characteristic of sets produced in India.","[[[175 175 175]
  [173 173 173]
  [172 172 172]
  ...
  [183 183 183]
  [175 175 175]
  [ 83  83  83]]

 [[175 175 175]
  [174 174 174]
  [175 175 175]
  ...
  [178 178 178]
  [168 168 168]
  [ 66  66  66]]

 [[173 173 173]
  [174 174 174]
  [176 176 176]
  ...
  [177 177 177]
  [166 166 166]
  [ 54  54  54]]

 ...

 [[194 194 194]
  [192 192 192]
  [191 191 191]
  ...
  [241 241 241]
  [240 240 240]
  [242 242 242]]

 [[195 195 195]
  [193 193 193]
  [191 191 191]
  ...
  [239 239 239]
  [239 239 239]
  [240 240 240]]

 [[193 193 193]
  [191 191 191]
  [189 189 189]
  ...
  [242 242 242]
  [242 242 242]
  [241 241 241]]]", What is the material used to create the chess set?, Lacquered wood and ivory, When was the chess set likely produced?, Circa 1800, Where did the game of chess most likely originate?, India, What distinguishes this chess set from other export pieces?, Its exquisitely intricate carving
9748,Watch stand,Watch stand,,1800–1820,Ivory,10 3/16 x 7 1/2 x 3 7/8 in. (25.9 x 19.1 x 9.8 cm),,,"This ivory stand, made in India or China for export to the Western market, allowed for the upright display of a pocket watchivory","[[[123 123 123]
  [123 123 123]
  [123 123 123]
  ...
  [130 132 132]
  [129 131 131]
  [127 129 129]]

 [[119 119 119]
  [120 120 120]
  [120 120 120]
  ...
  [130 132 132]
  [129 131 131]
  [128 130 130]]

 [[121 121 121]
  [121 121 121]
  [122 122 122]
  ...
  [129 131 131]
  [129 131 131]
  [127 129 129]]

 ...

 [[190 192 192]
  [190 192 192]
  [191 193 193]
  ...
  [201 203 203]
  [201 203 203]
  [200 202 202]]

 [[189 191 191]
  [190 192 192]
  [191 193 193]
  ...
  [200 202 202]
  [200 202 202]
  [200 202 202]]

 [[188 190 190]
  [189 191 191]
  [190 192 192]
  ...
  [200 202 202]
  [200 202 202]
  [199 201 201]]]", What is the name of the art?, Watch stand, When was the art created?, 1800–1820, What is the material used to create the stand?, Ivory, What is the purpose of the stand?, To display a pocket watch upright
38638,Huqqa base,Huqqa Base with Wheel-Cut Decoration,,early 19th century,Green glass; cut and inlaid with gold,"H. 7 1/2 in. (19.1 cm)
Diam. 6 1/4 in. (15.9 cm)",,Glass,"The materials, style and shape of this huqqa base bridge two important parts of our collection: Indian decorative arts and objects evidencing cultural exchange with Europe in the eighteenth and nineteenth centuries. The decorative floral forms are known in metal bidri huqqa bases from the seventeenth century, while the object itself may have been produced using European glass in the nineteenth century.","[[[181 186 189]
  [177 182 185]
  [172 177 180]
  ...
  [149 158 167]
  [149 158 167]
  [149 158 167]]

 [[177 182 185]
  [176 181 184]
  [176 181 184]
  ...
  [147 156 165]
  [147 156 165]
  [148 157 166]]

 [[174 179 182]
  [174 179 182]
  [181 186 189]
  ...
  [148 157 166]
  [148 157 166]
  [148 157 166]]

 ...

 [[139 145 150]
  [136 142 147]
  [132 138 143]
  ...
  [125 136 144]
  [125 137 143]
  [124 136 142]]

 [[135 141 146]
  [134 140 145]
  [133 139 144]
  ...
  [122 133 141]
  [123 135 141]
  [123 135 141]]

 [[133 139 144]
  [134 140 145]
  [135 141 146]
  ...
  [120 131 139]
  [121 133 139]
  [123 135 141]]]", What is the name of the object?, Huqqa Base, What materials were used to create the object?," Green glass, cut and inlaid with gold", What is the approximate age of the object?, Early 19th century, How does the object bridge two important parts of a collection?, It combines decorative floral forms from Indian metal bidri huqqa bases with European glass production techniques.
443097,Armlet,"Armlet, One of a Pair",,19th century,Silver; cast and chased,"H. 4 1/4 in. (10.8 cm)
W. 2 3/4 in. (7 cm)",Chennai (Madras),Jewelry,"This type of armband (vanki) is in a style that is referred to as swami. Swami metalwork and jewels were produced in southern India during the mid- to late nineteenth century and are characterized by micro-repoussage depictions of the Hindu pantheon of deities. Here, the god Krishna plays the flute and is flanked by animals and gopis (milkmaids).The most well-known swami metalwork was produced in Madras by the Anglo-Indian Company P. Orr & Sons. Mail-order catalogues produced by this firm facilitated the circulation of swami metal objects and jewelry to places as far away as England, the United States, and Australia.","[[[210 221 225]
  [209 220 224]
  [209 220 224]
  ...
  [221 230 234]
  [221 230 234]
  [221 230 234]]

 [[210 221 225]
  [210 221 225]
  [210 221 225]
  ...
  [222 231 235]
  [221 230 234]
  [221 230 234]]

 [[210 221 225]
  [210 221 225]
  [210 221 225]
  ...
  [222 231 235]
  [221 230 234]
  [220 229 233]]

 ...

 [[169 181 185]
  [169 181 185]
  [170 182 186]
  ...
  [241 245 246]
  [241 245 246]
  [241 245 246]]

 [[170 182 186]
  [170 182 186]
  [170 182 186]
  ...
  [241 245 246]
  [241 245 246]
  [241 245 246]]

 [[170 182 186]
  [169 181 185]
  [169 181 185]
  ...
  [241 245 246]
  [241 245 246]
  [241 245 246]]]", What is the object's name and type?," Armlet, One of a Pair", When was the armlet made?, 19th century, What materials were used to create the armlet?, Silver; cast and chased, Where was the armlet produced?," Chennai (Madras), southern India"
444557,Water container,Water Container (Ganga-Jumna Lota),,19th century,Brass and copper,"H. 5 1/2 in. (14 cm)
Diam. 5 in. (12.7 cm)
Wt. 32.7 oz. (927.1 g)",Thanjavur,Metal,"This lota, or water container, is probably based on earlier models of seventeenth-century India that also survived after the beginning of British rule in the region. Its checkerboard pattern, perhaps derived from early Hindu decoration, reflects Islamic influence as well—specifically, the prominance of geometric patterns in the Islamic world. The square unit exists not only in the checkerboard design but also as a repeated sequence of diamond shapes in the band above the vessel's belly. The technique of employing brass and copper together on the same object, unique to India, is called ganga-jumna, after the contrasting colors of the Ganges and Jumna rivers. The Museum's lota most likely was made in Thanjavur, known for its superior brass production in the nineteenth century.","[[[ 70  71  75]
  [ 70  71  75]
  [ 70  71  75]
  ...
  [ 68  70  71]
  [ 68  70  71]
  [ 69  71  72]]

 [[ 70  71  75]
  [ 70  71  75]
  [ 70  72  73]
  ...
  [ 69  71  72]
  [ 69  71  72]
  [ 70  72  73]]

 [[ 71  72  76]
  [ 71  73  74]
  [ 71  73  74]
  ...
  [ 69  71  72]
  [ 69  71  72]
  [ 70  72  73]]

 ...

 [[191 190 192]
  [191 190 192]
  [191 190 192]
  ...
  [193 192 194]
  [193 192 194]
  [192 191 193]]

 [[191 190 192]
  [191 190 192]
  [191 190 192]
  ...
  [192 191 193]
  [192 191 193]
  [192 191 193]]

 [[191 190 192]
  [191 190 192]
  [191 190 192]
  ...
  [192 191 193]
  [192 191 193]
  [192 191 193]]]", What is the name of the art object?, Water Container (Ganga-Jumna Lota), When was the object created?, 19th century, What materials were used to make the object?, Brass and copper, Where was the object most likely made?, Thanjavur
444667,Armlet,Armlet,,19th century,Silver,,,Jewelry,"Jewelry in India was not restricted to wealthy members of society, but rather produced with varying materials to appeal to a range of economic classes. This armlet, or bazuband, has been made with a dark metal alloy embellished with beige-colored threads, and would have been owned by someone of modest means. Such jewels were worn on the upper bicep, adorning the arm of the wearer.","[[[131 165 208]
  [118 152 195]
  [117 151 194]
  ...
  [138 175 219]
  [139 176 220]
  [140 177 221]]

 [[132 166 209]
  [120 154 197]
  [104 138 181]
  ...
  [132 169 213]
  [129 166 210]
  [136 173 217]]

 [[135 169 212]
  [123 157 200]
  [128 162 205]
  ...
  [132 169 213]
  [132 170 212]
  [139 177 219]]

 ...

 [[133 169 209]
  [121 157 197]
  [128 164 204]
  ...
  [149 183 226]
  [145 181 221]
  [148 185 223]]

 [[131 167 207]
  [131 167 207]
  [126 162 202]
  ...
  [136 171 214]
  [136 172 212]
  [147 184 222]]

 [[117 153 193]
  [125 161 201]
  [121 157 197]
  ...
  [137 172 215]
  [132 168 208]
  [138 174 214]]]", What is the name of the art?, Armlet, What is the material used to create the art?, Silver, What is the classification of the art?, Jewelry, Who was the target audience for this type of jewelry?, People of modest means
444674,Armlet,Armlet,,18th–19th century,Silver,,,Jewelry,"Armlets were an important element in the suite of jewels worn in India. This jewel would have been worn as one of a pair on each bicep. The present example has bells serving as the pendants, and this jewel would have had an incredible auditory component in addition to its attractive appearance. The small boxes on the main part of the bazuband resemble amulet boxes, and the shape may have had a talismanic function for the wearer.","[[[200 211 215]
  [203 214 218]
  [193 204 208]
  ...
  [145 150 151]
  [145 149 150]
  [139 143 144]]

 [[203 214 218]
  [202 213 217]
  [194 205 209]
  ...
  [143 148 149]
  [142 146 147]
  [139 143 144]]

 [[201 212 216]
  [201 212 216]
  [197 208 212]
  ...
  [140 145 146]
  [139 143 144]
  [139 143 144]]

 ...

 [[195 202 205]
  [193 200 203]
  [191 198 201]
  ...
  [152 157 160]
  [149 154 155]
  [148 153 154]]

 [[193 200 203]
  [192 199 202]
  [190 197 200]
  ...
  [162 167 170]
  [164 169 170]
  [161 166 167]]

 [[196 203 206]
  [194 201 204]
  [190 197 200]
  ...
  [163 168 171]
  [172 177 178]
  [173 178 179]]]", What is the primary purpose of armlets in Indian culture?, An important element in the suite of jewels worn in India., What are some of the unique features of this particular armlet?," Bells serving as pendants, resulting in both visual and auditory appeal.", What is the material used to create this armlet?, Silver, What possible purpose do the small boxes on the armlet serve?," They resemble amulet boxes, suggesting a talismanic function for the wearer."
444681,Jewelry,Marriage Pendant (Thali),,17th–19th century,Gold,"H: 1 3/4 in (4.4 cm)
W: 1 in (2.5 cm)
D: 7/8 in (2.2 cm)",Chennai (Madras),Jewelry,"Pendants such as these are known to be worn at weddings in South India on necklaces of glass beads or silk. The form is apotropaic and phallic, ensuring protection and fertility of the bride. The use of gold is particularly important as this material is considered to be sacred in Hinduism.","[[[169 174 173]
  [169 174 173]
  [168 174 173]
  ...
  [176 183 180]
  [176 183 180]
  [176 183 180]]

 [[170 175 174]
  [169 174 173]
  [167 173 172]
  ...
  [176 183 180]
  [176 183 180]
  [175 182 179]]

 [[169 175 174]
  [168 174 173]
  [167 173 172]
  ...
  [176 183 180]
  [175 182 179]
  [175 182 179]]

 ...

 [[174 176 176]
  [175 177 177]
  [175 177 177]
  ...
  [183 189 188]
  [184 190 189]
  [185 191 190]]

 [[175 176 174]
  [175 176 174]
  [173 175 175]
  ...
  [183 189 188]
  [184 189 190]
  [184 189 190]]

 [[175 176 174]
  [175 176 174]
  [173 175 175]
  ...
  [183 189 188]
  [184 189 190]
  [184 189 190]]]", What is the name of the art?, Marriage Pendant (Thali), When was the art created?, 17th–19th century, What is the material used in the art?, Gold, What is the purpose of the art?, Worn at weddings in South India to ensure protection and fertility of the bride
444695,Bracelet,Bracelet (Pahunchi),,19th century,Silver,,,Jewelry,"This bracelet (pahunchi) is decorated on the exterior with seed-shaped ornaments. These small motifs are often understood as symbols of reproduction and fertility. Along with other plant components such as flowers, leaves, and vines, such forms are often found ornamenting Indian jewelry.","[[[126 161 205]
  [135 168 213]
  [122 157 201]
  ...
  [138 178 220]
  [151 189 231]
  [138 177 221]]

 [[137 174 218]
  [116 153 197]
  [115 150 194]
  ...
  [142 182 224]
  [149 187 229]
  [139 177 219]]

 [[142 179 223]
  [119 154 198]
  [116 149 194]
  ...
  [138 176 218]
  [140 178 220]
  [146 184 226]]

 ...

 [[129 168 207]
  [143 182 220]
  [138 174 214]
  ...
  [151 189 231]
  [149 186 230]
  [138 175 219]]

 [[113 154 193]
  [123 162 201]
  [145 184 223]
  ...
  [129 169 211]
  [138 175 219]
  [149 186 230]]

 [[130 171 210]
  [123 162 201]
  [116 155 194]
  ...
  [139 179 221]
  [141 178 222]
  [141 179 221]]]", What type of object is described?, Bracelet, What is the title of the artwork?, Bracelet (Pahunchi), In what century was the bracelet created?, 19th century, What does the bracelet exterior symbolize?, Reproduction and fertility
444832,Box,Rock Crystal Box,,18th century,"Rock crystal; inlaid with gold, inset with rubies","H. 1 1/2 in. (3.8 cm)
W. 3 in. (7.6 cm)
D. 2 in. (5.1 cm)",,Stone,"This intimately-sized container, carved from rock crystal, has gold inlay and is inset with rubies. While the original use of this object remains unknown, a similar piece in the collection, made in the same technique but without the hinge, was likely used as a perfume or lime container. Small precious objects were highly valued in Mughal court culture, as they were exchanged as gifts between nobles.","[[[  0   0  16]
  [  4  12  25]
  [ 14  23  36]
  ...
  [ 91 122 167]
  [ 75 103 144]
  [ 94 127 172]]

 [[  5  11  24]
  [  4   7  21]
  [  0   5  18]
  ...
  [105 135 184]
  [102 135 185]
  [ 68  97 142]]

 [[  4  10  23]
  [  6   7  21]
  [  2   3  17]
  ...
  [100 126 172]
  [ 91 124 170]
  [ 81 106 148]]

 ...

 [[ 74  97 142]
  [ 80 104 150]
  [ 46  71 105]
  ...
  [ 54  72 109]
  [ 35  52  91]
  [ 63  78 111]]

 [[ 81 104 152]
  [ 58  79 117]
  [ 56  76 117]
  ...
  [ 79  98 141]
  [ 55  74 117]
  [ 49  67 104]]

 [[ 38  63  95]
  [ 26  45  82]
  [ 25  43  80]
  ...
  [ 58  79 117]
  [ 74  95 133]
  [ 57  76 109]]]", What is the material of the Box?," Rock crystal, gold, and rubies", When was the Box created?, 18th century, What is the size of the Box?, H. 1 1/2 in. (3.8 cm) x W. 3 in. (7.6 cm) x D. 2 in. (5.1 cm), What was the purpose of the Box?," The original use of the Box is unknown, but a similar piece in the collection without a hinge was likely used as a perfume or lime container."
