Question1,Answer1,Question2,Answer2,Question3,Answer3,Question4,Answer4
शतरंज सेट बनाने के लिए किस सामग्री का उपयोग किया जाता है?,लाख की लकड़ी और हाथीदांत,शतरंज सेट का निर्माण संभवतः कब हुआ था?,लगभग 1800,शतरंज के खेल की उत्पत्ति सबसे अधिक कहाँ से हुई?,भारत,इस शतरंज सेट को अन्य निर्यात मोहरों से क्या अलग करता है?,यह अत्यंत जटिल नक्काशी है
कला का नाम क्या है?,घड़ी स्टैंड,कला का निर्माण कब हुआ था?,1800-1820,स्टैंड बनाने के लिए किस सामग्री का उपयोग किया जाता है?,हाथी दांत,स्टैंड का उद्देश्य क्या है?,पॉकेट घड़ी को सीधा प्रदर्शित करना
वस्तु का नाम क्या है?,हुक्का बेस,वस्तु को बनाने के लिए किन सामग्रियों का उपयोग किया गया था?,"हरा कांच, कटा हुआ और सोने से जड़ा हुआ",वस्तु की अनुमानित आयु क्या है?,19वीं सदी की शुरुआत,वस्तु किसी संग्रह के दो महत्वपूर्ण भागों को कैसे जोड़ती है?,यह यूरोपीय ग्लास उत्पादन तकनीकों के साथ भारतीय धातु बिदरी हुक्का बेस से सजावटी पुष्प रूपों को जोड़ता है।
वस्तु का नाम और प्रकार क्या है?,"बाजूबंद, एक जोड़ी में से एक",बाजूबंद कब बनाया गया था?,19 वीं सदी,बाजूबंद बनाने के लिए किन सामग्रियों का उपयोग किया गया था?,चाँदी; डाला और पीछा किया,बाजूबंद का उत्पादन कहाँ किया गया था?,"चेन्नई (मद्रास), दक्षिणी भारत"
कला वस्तु का नाम क्या है?,जल पात्र (गंगा-जमुना लोटा),वस्तु कब बनाई गई थी?,19 वीं सदी,वस्तु को बनाने में किन सामग्रियों का उपयोग किया गया?,पीतल और तांबा,सबसे अधिक संभावना यह है कि वस्तु कहाँ बनाई गई थी?,तंजावुर
कला का नाम क्या है?,बाज़ूबन्द,कला बनाने के लिए किस सामग्री का उपयोग किया जाता है?,चाँदी,कला का वर्गीकरण क्या है?,जेवर,इस प्रकार के गहनों के लिए लक्षित दर्शक कौन थे?,मामूली साधनों के लोग
भारतीय संस्कृति में बाजूबंद का प्राथमिक उद्देश्य क्या है?,भारत में पहने जाने वाले आभूषणों की श्रृंखला में एक महत्वपूर्ण तत्व।,इस विशेष बाजूबंद की कुछ अनोखी विशेषताएं क्या हैं?,"घंटियाँ पेंडेंट के रूप में काम करती हैं, जिसके परिणामस्वरूप दृश्य और श्रवण दोनों अपील होती हैं।",इस बाजूबंद को बनाने में किस सामग्री का उपयोग किया गया है?,चाँदी,बाजूबंद पर छोटे बक्से किस संभावित उद्देश्य की पूर्ति करते हैं?,"वे ताबीज बक्से से मिलते जुलते हैं, जो पहनने वाले के लिए एक ताबीज समारोह का सुझाव देते हैं।"
कला का नाम क्या है?,विवाह पेंडेंट (थाली),कला का निर्माण कब हुआ था?,17वीं-19वीं सदी,कला में प्रयुक्त सामग्री क्या है?,सोना,कला का उद्देश्य क्या है?,दुल्हन की सुरक्षा और प्रजनन क्षमता सुनिश्चित करने के लिए दक्षिण भारत में शादियों में पहना जाता है
किस प्रकार की वस्तु का वर्णन किया गया है?,कंगन,कलाकृति का शीर्षक क्या है?,कंगन (पहुंची),कंगन किस शताब्दी में बनाया गया था?,19 वीं सदी,कंगन का बाहरी भाग किसका प्रतीक है?,प्रजनन एवं प्रजनन क्षमता
बॉक्स की सामग्री क्या है?,"रॉक क्रिस्टल, सोना और माणिक",बॉक्स कब बनाया गया था?,18 वीं सदी,बॉक्स का आकार क्या है?,एच. 1 1/2 इंच (3.8 सेमी) x डब्ल्यू. 3 इंच (7.6 सेमी) x डी. 2 इंच (5.1 सेमी),बॉक्स का उद्देश्य क्या था?,"बॉक्स का मूल उपयोग अज्ञात है, लेकिन संग्रह में बिना काज के एक समान टुकड़ा संभवतः इत्र या चूने के कंटेनर के रूप में इस्तेमाल किया गया था।"
कला कलाकृति का नाम क्या है?,सम्राट जहाँगीर का चित्र सिक्का,सिक्का कब जारी किया गया था?,1023 एएच/1614 सीई,सिक्का बनाने के लिए किस सामग्री का उपयोग किया गया था?,सोना,सिक्का किसने जारी किया?,बादशाह जहांगीर
यह किस प्रकार की कला है?,सिक्का,कला का शीर्षक क्या है?,"राशि चक्र सिक्कों का समूह - मेष, सिंह, मीन, वृषभ, मकर",कला किस सामग्री से बनी है?,चाँदी,कला का निर्माण कब हुआ था?,दिनांक 1027 एएच/1617-18 ई
सिक्का किस वर्ष जारी किया गया था?,1027 एएच/1618 सीई,सिक्के का व्यास कितना है?,7/8 इंच (2.2 सेमी),सिक्के पर कौन सा ज्योतिषीय चिन्ह दर्शाया गया है?,लियो,मुगल सिक्के की एक विशिष्ट विशेषता क्या थी?,धार्मिक सुलेख शिलालेख और ढलाई की तारीखें
पाठ में वर्णित कला वस्तु का नाम क्या है?,सिक्का,सिक्का का उत्पादन कब किया गया था?,दिनांक 1028 एएच/1619 ई,सिक्का बनाने के लिए किस सामग्री का उपयोग किया जाता है?,सोना,सिक्के पर कौन सा रूपांकन दर्शाया गया है?,राशि चक्र के लक्षण
कला का नाम क्या है?,मिथुन राशि वाला सिक्का,कला को बनाने के लिए किस माध्यम का उपयोग किया जाता है?,चाँदी,कला का निर्माण कब हुआ था?,1027 एएच/1618 सीई,सिक्के पर मिथुन चिन्ह क्यों है?,उस महीने के अनुरूप होना जिसमें इसे ढाला गया था।
कला वस्तु का नाम क्या है?,सिक्का,सिक्के पर बने चिन्ह का क्या महत्व है?,"यह प्रतीक कर्क राशि को दर्शाता है, जो उस महीने को दर्शाता है जिसमें सिक्का ढाला गया था।",सिक्का किस सामग्री से बना है?,चाँदी,सिक्के का असामान्य राशि चक्र डिज़ाइन किसने डिज़ाइन किया?,मुगल बादशाह जहांगीर
कला का नाम क्या है?,तुला राशि वाला सिक्का,कला में किस माध्यम का प्रयोग किया जाता है?,सोना,यह सिक्का किस वर्ष ढाला गया था?,1034 एएच/1625 सीई,सिक्के पर अंकित चिन्ह क्या दर्शाता है?,"तुला राशि, उसके आरंभ होने के महीने के अनुरूप"
कला का नाम क्या है?,बादशाह अकबर का बाज़ सिक्का,कला का निर्माण कब हुआ था?,963 एएच/1556 सीई,कला को बनाने के लिए किस माध्यम का उपयोग किया जाता है?,सोना,सिक्के पर किसे दर्शाया गया है?,बादशाह अकबर
चित्रित कला का नाम क्या है?,सिक्का,सिक्का का उत्पादन कब किया गया था?,दिनांक 1031 एएच/1621-22 सीई,सिक्के के आयाम क्या हैं?,डायम. 13/16 इंच (2.1 सेमी)\r\nW. 1/16 इंच (0.2 सेमी),सिक्का किस शहर में बनाया गया था?,आगरा
कला का नाम क्या है?,सिक्का,सिक्का कब बनाया गया था?,1028 एएच/1619 सीई,सिक्का किससे बना है?,सोना,सिक्के पर राशि चिन्ह क्या दर्शाता है?,वह महीना जिसमें इसे ढाला गया था
वस्तु का नाम क्या है?,सिक्का,सिक्के पर कौन सा चिन्ह दर्शाया गया है?,लियो,सिक्का किस वर्ष ढाला गया था?,1033 एएच/1624 सीई,सिक्का कहाँ ढाला गया था?,आगरा
इस कला का नाम क्या है?,सिक्का,कला का निर्माण कब हुआ था?,1030 एएच/1621 सीई,कला किससे बनी है?,चाँदी,सिक्के पर वृश्चिक का चिन्ह क्या दर्शाता है?,वह महीना जिसमें सिक्का ढाला गया था
इस कला का शीर्षक और प्रकार क्या है?,शीर्षक: लटका हुआ; प्रकार: कपड़ा-कढ़ाई,यह कला कब बनाई गई थी?,16वीं-17वीं शताब्दी,इस कला को बनाने के लिए किन सामग्रियों का उपयोग किया गया?,"रेशम; सादे-बुनाई, चांदी से लिपटे धागे से कढ़ाई",इस कला का संभावित उपयोग क्या था?,एक दरबारी सेटिंग में ग्रीष्मकालीन कालीन या मंच के लिए कवर के रूप में
वस्तु का नाम क्या है?,कटोरा,वस्तु कब बनाई गई थी?,19 वीं सदी,वस्तु को बनाने के लिए किस सामग्री का उपयोग किया जाता है?,कलई किया हुआ तांबा,इस कटोरे जैसी वस्तुएँ आम तौर पर कहाँ प्रदर्शित की जाती थीं?,ओटोमन काल के दौरान उच्च वर्ग के सीरियाई आवासों के स्वागत कक्षों में खुली जगहें
कला का नाम क्या है?,आभूषणों के लिए साँचा,इस कला को बनाने के लिए किन सामग्रियों का उपयोग किया गया?,मिट्टी और भारी सफेद धातु,इस कला को बनाने के लिए किस तकनीक का उपयोग किया गया?,मोम की ढलाई खो गई,कला के आयाम क्या हैं?,(एसी। 4 इंच (10.2 सेमी) x 6 इंच (15.2 सेमी)
वस्तु का नाम क्या है?,पैनल,कला का निर्माण कब हुआ था?,17वीं सदी की शुरुआत,कला किस सामग्री से बनी है?,"कपास, तसर रेशम, सादा बुनाई, कढ़ाई।",कला का प्रयोग आमतौर पर किस लिए किया जाता है?,इस कला का उपयोग संभवतः मेंटल या एप्रन की सजावट के रूप में किया जाता था।
कला का नाम क्या है?,पश्मीना कालीन टुकड़ा,कला का निर्माण किस सदी में हुआ?,17वीं शताब्दी का पूर्वार्द्ध,कला को बनाने के लिए किस प्रकार की तकनीक का उपयोग किया गया?,असममित रूप से गांठदार ढेर,ज़मीन का गहरा लाल रंग प्राप्त करने के लिए संभवतः किस रंग का उपयोग किया गया था?,लाख और मजीठ का पौधा
सचित्र एल्बम लीफ का कलाकार कौन है?,मुहम्मद मूसा,कला के निर्माण की अनुमानित तिथि क्या है?,सीए। 1695-1705,कला को बनाने के लिए किस माध्यम का उपयोग किया जाता है?,कागज पर जल रंग,चित्र का मुख्य विषय क्या है?,मियां मीर और मुल्ला शाह
"""जहाँगीर वॉचिंग एन एलिफेंट फाइट"" के कलाकार कौन हैं?",फारुख चेला,"""जहाँगीर एक हाथी की लड़ाई देखना"" किस वर्ष बनाया गया था?",सीए। 1605,"""जहाँगीर एक हाथी की लड़ाई देखना"" में प्रयुक्त प्राथमिक माध्यम क्या है?","स्याही, अपारदर्शी जल रंग, कागज पर सोना",पेंटिंग के अग्रभाग में घोड़े पर कौन दिखाई देता है?,बादशाह जहांगीर
