objectID,primaryImageLink,Question1,Answer1,Question2,Answer2,Question3,Answer3,Question4,Answer4
447086,https://images.metmuseum.org/CRDImages/is/original/DT4880.jpg, What is the name of the artwork?, Finial in the Form of a Parrot, In what century was the artwork created?, 17th–18th century, What does the simplicity of style and informal subject choice suggest about the artwork's origin?, It suggests that the piece likely belonged to a provincial court setting rather than an imperial one., In what medium was the artwork created?, Brass
456964,https://images.metmuseum.org/CRDImages/is/original/DP235922.jpg, What is the title of the art?, Qur'an Manuscript, When was the art created?, Late 18th–early 19th century, What is the medium used to create the art?," Ink, gold, and lapis on paper; leather binding", What is the style of illumination used in the art?, Blue and gold palette characteristic of Kashmiri production
445246,https://images.metmuseum.org/CRDImages/is/original/DP229986.jpg, What is the object's name?, Panel, When was the art created?, Early 17th century, What material is the art made of?," Cotton, tasar silk, plain weave, embroidered.", What is the art typically used for?, The art was likely used as a decoration for a mantle or an apron.
451283,https://images.metmuseum.org/CRDImages/is/original/DP251278.jpg, Who is depicted in the art?, The future emperor Shah Jahan and his son Dara Shikoh., When was the art created?, Verso: ca. 1620; recto: ca. 1530–50., What medium was used to create the art?," Ink, opaque watercolor, and gold on paper.", What is the classification of the art?, Codices.
446750,https://images.metmuseum.org/CRDImages/is/original/15.95.55_1.jpg, What is the name of the art?, Necklace, What is the necklace made of?," Gold, emeralds, spinels, pearls", What is the approximate date of the necklace?, 18th–19th century, What is the significance of the necklace?," It is a kaliganthi, a necklace given to a bride on her wedding day by her in-laws."
502149,https://images.metmuseum.org/CRDImages/mi/original/midp89.4.1585back.jpg, What type of instrument is the art?, Sitar, When was the Sitar created?, Late 19th century, What materials are used to make the Sitar?," Gourd, wood, ivory, and metal", What is the size of the Sitar?, 51 × 12 in. (129.5 × 30.5 cm)
453136,https://images.metmuseum.org/CRDImages/is/original/sf1981-373-84b.jpg, What does the art depict?, A page of calligraphy from a Kalila wa Dimna manuscript., When was the art created?, Second quarter of the 16th century., What materials were used to create the art?, Ink and opaque watercolor on paper., What is the style of the art?," Mamluk Egypt, with hints of Ottoman and Safavid influences."
451276,https://images.metmuseum.org/CRDImages/is/original/DP246561.jpg, What is the name of the album in which this page is found?, Shah Jahan Album, Who created this artwork?, Manohar, When was the artwork created?, Recto: ca. 1610; Verso: ca. 1530–40, What medium was used to create this artwork?," Ink, opaque watercolor, and gold on paper"
446706,https://images.metmuseum.org/CRDImages/is/original/LC-15_95_3.jpg, What type of adornment is described in the text?, Anklet, When was the anklet likely made?, 19th century, What material was used to craft the anklet?, Silver, What was the purpose of the attached chain and balls on the anklet?, To create a musical noise as the wearer moved
444859,https://images.metmuseum.org/CRDImages/is/original/DP25.jpg, What is the name of the art object described in the text?, Coin, When was the coin produced?, Dated 1028 AH/1619 CE, What is the material used to create the coin?, Gold, What is the motif depicted on the coin?, Signs of the zodiac
446755,https://images.metmuseum.org/CRDImages/is/original/DP233244.jpg, What is the name of the art?, Necklace with Filigree and Beads, To what period does the necklace belong?, late 18th–early 19th century, What is the necklace made of?, Gold, Describe the central pendant of the necklace.," The large fan-shaped pendant is decorated with flowers and scrolling motifs in gold, bordered by twelve finely filigreed amulets on either side, with clusters of small gold beads hanging below each."
453354,https://images.metmuseum.org/CRDImages/is/original/DP240649.jpg, Who is the artist of the painting?, Shaikh Muhammad Amir of Karraya, What is the medium used in creating the painting?, Opaque watercolor on paper, In what year was the painting created?, ca. 1845, What is the subject matter of the painting?," A syce, or groom, symmetrically flanked by almost identical horses"
453075,https://images.metmuseum.org/CRDImages/is/original/sf1981-373-21a.jpg, What is the title of the artwork?, Page of Calligraphy from a Kalila wa Dimna, When was the artwork created?, Second quarter 16th century, What is the medium of the artwork?, Ink and opaque watercolor on paper, What is the classification of the artwork?, Codices
457730,https://images.metmuseum.org/CRDImages/is/original/DP253146.jpg, What is the name of the art?, Dagger with Zoomorphic Hilt, When was the art created?, Second half of the 16th century, What materials were used to make the art?," Hilt: copper; cast, chased, gilded, and inlaid with rubies. Blade: steel; forged", What cultural symbols are combined in the art's design?, Persian and Indian symbols of power
501899,https://images.metmuseum.org/CRDImages/mi/original/DP-12679-025.jpg, What type of instrument is the Karnā?, Trumpet, When was the Karnā made?, Late 19th century, What material is the Karnā made of?, Brass, What is the diameter of the Karnā's bell?, 5 1/2 in. (14 cm)
503937,https://images.metmuseum.org/CRDImages/mi/original/DP-23912-001.jpg, What is the name of the art?, Sursanga, When was the art created?, 19th century, What materials were used to create the art?," Wood, pearl, ivory", What is the unique feature of the art that distinguishes it from other musical instruments?, It combines both Ganesha and Sarasvati in its design and has a thin wooden face plate and metal strings.
457019,https://images.metmuseum.org/CRDImages/is/original/DP246498.jpg, What is the name of the art?, Engraved Bowl, When was the art created?, Early 17th century, What is the medium of the art?," Copper; cast, engraved, tinned, and inlaid with a black compound", What is the classification of the art?, Metal
453053,https://images.metmuseum.org/CRDImages/is/original/DP240305.jpg, What is the title of the artwork?, Dedicatory Inscription from a Mosque, In what year was the artwork created?, 1500 CE, What is the medium used for the artwork?, Gabbro (a type of stone), What is the significance of the inscription's script?," It is in ""tughra"" script, which is an elaborate style of Arabic calligraphy, and is an outstanding example of Indo-Muslim epigraphy."
448484,https://images.metmuseum.org/CRDImages/is/original/sf30-95-174-25a.jpg, What is the name of the artwork?," ""Women Feasting on a Balcony"", Folio from the Davis Album", When was the artwork created?, Late 17th–early 18th century, What materials were used to create the artwork?," Ink, opaque watercolor, and gold on paper", What is the style of the artwork described as?, A romantic phase of the Mughal style
453132,https://images.metmuseum.org/CRDImages/is/original/DP300778.jpg, What type of artwork is it?, Folio from an illustrated manuscript, What is the title of the artwork?," ""The Ascetic Finds his Son Alive in his Crib"", Folio from a Kalila wa Dimna", When was the artwork created?, second quarter 16th century, What is the medium used in the artwork?, Ink and opaque watercolor on paper
451287,https://images.metmuseum.org/CRDImages/is/original/DP231356.jpg, Who is the artist of the album leaf?, Nanha, When was the verso of the album leaf created?, ca. 1610–15, What is the medium used in the album leaf?," Ink, opaque watercolor, and gold on paper", What was the primary purpose of Sultan 'Ali of Mashhad's calligraphy?, Poetry
458439,https://images.metmuseum.org/CRDImages/is/original/DP295570.jpg, What is the type of object described?, Folio from a manuscript, What is the subject matter of the manuscript?, Quran, What era did the manuscript originate from?, 14th century, What specific type of script is used in the manuscript?," Muhaqqaq script, with interlinear Persian translation in naskhi script"
453129,https://images.metmuseum.org/CRDImages/is/original/DP300775.jpg, What type of object is it?, Folio from an illustrated manuscript, What does the painting depict?, A monkey escaping to the safety of a fig tree, From which manuscript is the folio taken?, Kalila wa Dimna, What is the artistic style of the painting?, Mamluk Egyptian with influences from Ottoman and Safavid art
452780,https://images.metmuseum.org/CRDImages/is/original/sf1975-197a.jpg, What is the subject matter of the art?, It depicts a series of masks in a frieze., When was the art created?, 15th–early 16th century., What is the material used for the art?, Sandstone., What is the geographic origin of the art?," Mathura region, India, as indicated by the red sandstone."
446882,https://images.metmuseum.org/CRDImages/is/original/DP272812.jpg, What is the name of the art object?, Fragment of a White-Ground Velvet Carpet, What materials were used to create the art?," Silk and linen, using the cut velvet technique", What period does the art belong to?, 17th century, What is the significance of the floral motif in the art?," The large flower in the center relates to the technique of pietra dura, where precious stones depicting floral motifs are inlaid into marble in architectural settings."
454619,https://images.metmuseum.org/CRDImages/is/original/DP116022.jpg, Who is the artist of the artwork?, Bhavanidas, What type of art is it?, Illustrated single work, What medium is used in the artwork?, Opaque watercolor and gold on paper, When was the artwork created?, ca. 1705–20
446767,https://images.metmuseum.org/CRDImages/is/original/DP-14795-004.jpg, What type of art is it?, Jewelry, What is the necklace made of?," Gold, diamonds, colorless sapphires, rubies, imitation emeralds, and pearls", When was the necklace created?, 18th–19th century, What is the significance of jewelry in Mughal culture?," The wearing and appreciation of jewelry was considered an art in itself, and it was worn by all members of society."
448526,https://images.metmuseum.org/CRDImages/is/original/DP368771.jpg, What type of art is this?, Textile fragment, When was this art created?, 13th–14th century, Where was this art found?," Fustat, Egypt", What techniques were used to create the designs on this art?, Block-printing and mordant dyeing
500775,https://images.metmuseum.org/CRDImages/mi/original/midp89.4.206.jpg, What is the name of the art?, Duff, When was the art created?, Late 19th century, What is the medium used to create the art?, Wood, What classification does the art fall under?, Membranophone-single-headed / frame drum
872977,https://images.metmuseum.org/CRDImages/is/original/LC-2022_464ab-view11.jpg, What is the name of the art?, Dagger with Yali Hilt, What is the classification of the art?, Arms and Armor, When was the art created?, 1800–1850, What materials were used to create the art?," Hilt: Ivory; carved and inlaid with glass, ruby, spinel, and emerald"
453134,https://images.metmuseum.org/CRDImages/is/original/sf1981-373-82b.jpg, What does the manuscript contain?, It contains seventy-eight paintings and many text folios telling the famous tales of the jackals Kalila and Dimna., When was the manuscript created?, The manuscript was created in the second quarter of the 16th century., What is the medium of the manuscript?, Ink and opaque watercolor on paper., Where is the manuscript originally from?, It is suggested that the manuscript was originally from Mamluk Egypt and later copied in Sultanate Gujarat.
453074,https://images.metmuseum.org/CRDImages/is/original/DP300723.jpg, What is the title of the art?," ""The Merchant Listens to the Workman Playing Cymbals"", Folio from a Kalila wa Dimna", What is the medium used to create the art?, Ink and opaque watercolor on paper, When was the art created?, Second quarter 16th century, What is the origin of the stories depicted in the art?," Ancient Indian animal fables, the Panchatantra written by Vidyapati (Bidpai)"
500717,https://images.metmuseum.org/CRDImages/mi/original/DP-14177-001.jpg, What is the name of the instrument?, Sarod, To what classification does the instrument belong?, Chordophone-Lute-plucked-unfretted, When was the sarod made?, ca. 1885, What is the purpose of the instrument?, To accompany singers and as a solo instrument in north India
452777,https://images.metmuseum.org/CRDImages/is/original/sf1975-194-2a.jpg, What is the name of the artwork?, Bottle with Gilded Flowers, When was the artwork created?, 18th century, What materials were used to create the artwork?," Glass, purple; mold blown, gilded", What is the inspiration behind the design of this artwork?," Square bottles of this type derive from Dutch and German molded vessels, which would have been imported after the Dutch East India Company established a trade factory in Gujarat in 1618."
448466,https://images.metmuseum.org/CRDImages/is/original/DT4804.jpg, What is the name of the art?," Illustrated album leaf: ""Hamid Bhakari Punished by Akbar"", Folio from a Manuscript of the Akbarnama. Folio from the Davis Album", Who wrote and in which year?, Written by the courtier Abu\'l Fazl between 1589 and 1598., What is the subject of the artwork?," The focus of the painting appears to be a royal hunting expedition, but in the lower left corner one finds the true subject: the courtier Hamid Bhakari gets punished by the emperor.", What is the classification of this art?, Codices
451281,https://images.metmuseum.org/CRDImages/is/original/DP247726.jpg, Who was the artist of the album leaf?, Hashim, What is the medium of the artwork?," Ink, opaque watercolor, and gold on paper", When was the recto of the album leaf created?, ca. 1620, Who is depicted in the album leaf portrait?, Mulla Muhammad Khan Vali of Bijapur
453210,https://images.metmuseum.org/CRDImages/is/original/DP231333.jpg, What is the name of the artwork?, Buffaloes in Combat, Who created the artwork?, Miskin, When was the artwork created?, Late 16th century, What materials were used to create the artwork?," Ink, watercolor, and gold on paper"
451266,https://images.metmuseum.org/CRDImages/is/original/DP240815.jpg, What is the name of the artwork?," ""A Youth Fallen From a Tree"", Folio from the Shah Jahan Album", Who is the artist of the artwork?, Aqa Riza, What is the medium used to create the artwork?," Ink, opaque watercolor, and gold on paper", What is the approximate date range when the artwork was created?, verso: ca. 1610; recto: ca. 1530
448518,https://images.metmuseum.org/CRDImages/is/original/wb-30.112.24.JPG, What is the title of the artwork?, Textile Fragment, When was the artwork created?, 13th–14th century, What materials were used to create the artwork?," Cotton, plain weave; block-printed and/or painted, mordant dyed", Where was the artwork discovered?," Near Fustat, Egypt"
448473,https://images.metmuseum.org/CRDImages/is/original/sf30-95-174-14a.jpg, What's the title of the art?," ""Encampment in the Hills: Jahangir with Falcon""", Who is the artist of this art?, Abu'l Fazl, When was this art created?, Early 17th century, What medium and materials were used to create this art?," Ink, opaque watercolor, and gold on paper"
454097,https://images.metmuseum.org/CRDImages/is/original/LC-15_95_124.jpg, What is the name of the art?, Hair Ornament (Nagar), When was the art created?, 19th century, What symbols can be found in the ornament's iconography?," Lakshmi, Vishnu, Ananta Sesha, kirtimukha", Where did the ornament originate from?, South India
500759,https://images.metmuseum.org/CRDImages/mi/original/MIDP89.4.190.jpg, What is the name of the musical instrument?, Sitar, When was the sitar created?, Mid-19th century, What type of material is the sitar made from?, Wood, What is the significant difference between the early sitar and the modern instrument?, The early sitar did not have sympathetic strings.
659901,https://images.metmuseum.org/CRDImages/is/original/DP-13343-008.jpg, Who created the Cutout?, Lockwood de Forest, What material is the Cutout made of?, Brass, What was Lockwood de Forest's inspiration for the Cutout?, Indian arts and crafts, For what purpose were these cutouts originally used?, As ornament on architecture or furniture
454344,https://images.metmuseum.org/CRDImages/is/original/DP103079.jpg, What is the title of the art?," ""Rama Receives Sugriva and Jambavat, the Monkey and Bear Kings"", Folio from a Ramayana", What is the medium used in the art?," Ink, opaque watercolor, and gold on paper", What is the size of the painting?, H. 10 7/8 in. (27.6 cm) x W. 7 1/2 in. (19.1 cm), Why was the page probably made?, The page was probably made for the Mughal courtier Bir Singh Deo of Datia.
453350,https://images.metmuseum.org/CRDImages/is/original/DT3676.jpg, What is the title of the art?," Interior of the Hammam at the Red Fort, Delhi, Furnished According to English Taste", What is the medium of the art?, Opaque watercolor on paper, When was the art created?, ca. 1830–40, What is the classification of the art?, Codices
448677,https://images.metmuseum.org/CRDImages/is/original/DT5435.jpg, What is the name of the art?, Carpet Fragment, Around what year was the carpet created?, ca. 1650, Where was the carpet likely made?, Kashmir or Lahore, What is the carpet made of?," Silk, pashmina wool, and asymmetrically knotted pile"
500909,https://images.metmuseum.org/CRDImages/mi/original/89.4.264.JPG, What is the purpose of the sruti upanga?," It was used as a drone accompaniment, providing a continuous note in the background.", Who played the sruti upanga?," It was played by male musicians who accompanied devadasi, female dancers who dedicated their lives to a deity.", What caused the decline of the sruti upanga in Tamil Nadu?," The anti-nautch campaign and the Madras Devadasis Prevention of Dedication Act of 1947, which criminalized the devadasi practice.", Where was the sruti upanga still in use in the early 1980s?," In Andhra Pradesh (Central India), where it was used as a drone instrument to accompany Telugu epic singers."
453258,https://images.metmuseum.org/CRDImages/is/original/DT8104.jpg, Who is the artist responsible for this artwork?, Maulana Nur al-Din `Abd al-Rahman Jami, What is the physical size of the border of this artwork?, H. 11 7/8 in. (30.2 cm) x W. 6 5/16 in. (16 cm), What is the title page of this folio from?, Panj Ganj (The Five Treasures) of Jami, When did the border of this artwork get added?, First quarter 17th century
446801,https://images.metmuseum.org/CRDImages/is/original/sf15-95-138a.jpg, What is the name of the artifact?, Amulet Case, When was the amulet case made?, 19th century, What materials were used to make the amulet case?, Gold and coral, What is the significance of the elongated shape of the amulet?, The shape suggests it was used to hold rolled-up paper inscribed with holy words.
446707,https://images.metmuseum.org/CRDImages/is/original/LC-15_95_4-view2.jpg, What is the name of the art object?," Anklet, One of a Pair", When was the art object created?, 19th century, What is the material of the art object?, Silver, Who was the former owner of the art object?, Lockwood de Forest
446739,https://images.metmuseum.org/CRDImages/is/original/15.95.40 and 41.JPG, What is the name of the art?," Armband (Bazuband), One of a Pair", What is the material used to make the art?," Gold, gemstones, and enamel", Where was the art formerly located?, Collection of American artist and designer Lockwood de Forest, What is the primary function of bazubands?, Worn as an important element in a suite of jewelry worn by men on the upper bicep
446646,https://images.metmuseum.org/CRDImages/is/original/DP215596.jpg, What is the material used in the carpet?," Silk (warp and weft), pashmina wool (pile)", Where was the carpet made?, Kashmir or Lahore, What type of knotting technique was used in the carpet?, Asymmetrically knotted pile, Why does the increased number of knots in the carpet contribute to its quality?," It increases the suppleness and softness of the carpet, allowing for more intricate patterns."
453133,https://images.metmuseum.org/CRDImages/is/original/DP300779.jpg, What type of art is described?, Folio from an illustrated manuscript, What is the title of the artwork?," ""The Trapped Cat and the Frightened Mouse (Rat ?)"", Folio from a Kalila wa Dimna", What materials were used to create the artwork?, Ink and opaque watercolor on paper, Where is it believed that the manuscript was originally copied from?, Sultanate Gujarat
503672,https://images.metmuseum.org/CRDImages/mi/original/DP353270.jpg, What is the material used to make the conch shell?," Shell (Turbinella pyrum), brass, and wax.", What is the religious significance of the conch shell in Hinduism?," It is associated with Vishnu, the Lord of the Waters.", What type of fitting is attached to the conch shell?," Brass fittings, which indicate a link to Shaivite ritual.", What symbols and figures are depicted on the decorated conical end of the conch shell?," Rows of nagas (serpent divinities), wreath-bearing kirtimukhas (""Faces of Glory""), a yoni design (symbol of female energy), and the head of a makara (elephant/crocodile monster) with a yali (elephant/lion monster) striding atop it."
453195,https://images.metmuseum.org/CRDImages/is/original/DP262807.jpg, What is the name of the art?, Textile Fragment with a Repeating Pattern of Interlocked Tulips and Poppies, When was the textile made?, ca. 1628–58, Where was the textile produced?," Exact location uncertain, either India or Persia", What type of material is the textile made of?," Silk, metal wrapped thread; plain weave, brocaded"
446744,https://images.metmuseum.org/CRDImages/is/original/LC-15_95_45.jpg, What is the material used to make the armlet?, Gold and precious stones, When is the armlet believed to have been made?, 19th century, Who was the previous owner of the armlet?, Lockwood de Forest, Where was the armlet purchased?, India
446787,https://images.metmuseum.org/CRDImages/is/original/LC-15_95_122.jpg, What is the name of the art?," Hair / Ear Ornament, One of a Pair", When was the art created?, 19th century, What materials were used to make the art?," Gold and silver, imitation pearl", What is the purpose of the art?, The ornaments were worn as part of an elaborate ensemble of jewels adorning the head and body of a woman.
453214,https://images.metmuseum.org/CRDImages/is/original/DP303328.jpg, What is the object's name?, Game board, On which side of the board is chess played?, The side on display, What is the material and technique used in the creation of the game board?," Wood; painted, varnished, and gilded", How many different flower varieties can be identified on the board?, Eight
454343,https://images.metmuseum.org/CRDImages/is/original/DT5406.jpg, What is the title of the art?, Album Page with Cut-Paper Decoration, When was the art created?, ca. 1625–50, What materials were used to create the art?," Cut paper, opaque watercolor, and gold", What is the main subject matter of the decoration on the art?," Flowering plants, water birds, and a deer"
448936,https://images.metmuseum.org/CRDImages/is/original/wb-33.65.9.JPG, What is the name of the art piece?, Tent Lining Fragment, When was the art piece created?, 18th century, What materials were used to make the art piece?," Cotton, silk", What was the intended use of the art piece?," To adorn the interior of a tent, providing a decorative element to a temporary living space used during campaigns or seasonal migrations."
446581,https://images.metmuseum.org/CRDImages/is/original/wb-13.228.47.JPG, What is the title of the art?, Portrait of Emperor Jahangir, When was the art created?, ca. 1615–20, What materials were used to create the art?," Ink, opaque watercolor, and gold on paper", What is a distinctive feature of the portraiture style during Jahangir's reign?," The influence of European prints, leading to a more accurate and realistic depiction of the emperor."
500713,https://images.metmuseum.org/CRDImages/mi/original/midp89.4.167 (3).jpg, What type of musical instrument is Bāyā?," A kettle drum, used in a set of drums accompanying North Indian classical music and dance.", What materials are used to make Bāyā?, Wood and skin., During which century was the Bāyā exhibited?, Late 19th century., What is the significance of the size difference between the tablā and bāyā in modern sets?," Modern tablā sets feature smaller right-hand tablā drums and larger left-hand bāyā drums, reflecting their different roles and a change in musical practices compared to the 19th century."
448278,https://images.metmuseum.org/CRDImages/is/original/sf29-160-20a.jpg, Who is depicted in the portrait?, Emperor Akbar, When was the portrait created?, Early 17th century, What medium was used to create the portrait?, Ink and opaque watercolor on paper, What are the dimensions of the portrait including the frame?," Height: 21 3/4 inches (54.6 cm), Width: 16 3/4 inches (42.5 cm)"
501903,https://images.metmuseum.org/CRDImages/mi/original/159471.jpg, What is the object's name?, Bell, What century was the bell created?, 19th century, What materials were used to create the bell?, Brass and glass, What was the potential purpose of the bell?, To honor Vishnu or Shiva
447821,https://images.metmuseum.org/CRDImages/is/original/DP286917.jpg, What is the name of the art piece?, Hanging or Bed Cover, When was the art piece made?, Late 18th century, What technique was used to create the art piece?, Kalamkari dyeing, What was the intended use of the art piece?, Bed cover or wall hanging
448465,https://images.metmuseum.org/CRDImages/is/original/DP107563.jpg, What is the name of the art?," Illustrated album leaf: ""Portrait of a Noble in Gauzy White Costume"", Folio from the Davis Album", When was the art created?, Late 17th century, What materials were used to create the art?," Ink, opaque watercolor, and gold on paper", What are the dimensions of the art?, Page: 13 1/8 in. (33.3 cm) x 8 1/4 in. ( 21 cm)\r
453479,https://images.metmuseum.org/CRDImages/is/original/sf1984-335r.jpg, What is the type and title of the art?," Folio from a non-illustrated manuscript titled ""Page from a Persian Epic Poem (Masnavi)""", What materials and dimensions were used to create the art?," Ink, opaque watercolor, and gold on paper; Height: 12 3/4 in. (32.4 cm), Width: 7 1/2 in. (19.1 cm)", What is the unique feature of the script used in the art?," Most unusually, every other horizontal segment of the script is upside down, requiring the manuscript to be turned sideways to read both lines at once.", What is the subject matter of the epic poem from which the folio was removed?," The epic poem is about hopelessness concerning fate, as evident from the segment's title ""Concerning Hopelessness [when it comes to] Fate."""
452813,https://images.metmuseum.org/CRDImages/is/original/wb-1976.176.1b.JPG, What is the title of the art piece?, Flower-Style Box with Drawers, What material is the art piece made of?," Wood (poplar); overlaid with ebony inlaid with wood and incised, stained ivory", What design elements are featured in the art piece?," Rows of graceful flowering plants, coiled cloud bands, and flying birds", Why are there iron handles on the art piece?, The iron handles indicate that the box was used as a traveling chest
