objectID,primaryImageLink,objectName,title,artistDisplayName,objectDate,medium,dimensions,city,classification,description,Question1,Answer1,Question2,Answer2,Question3,Answer3,Question4,Answer4
1986,https://images.metmuseum.org/CRDImages/ad/original/138425.jpg,Chess set,Chess set,,ca. 1800,"Lacquered wood, ivory",Board: 1 3/4 x 16 5/8 x 16 5/8 in. (4.4 x 42.2 x 42.2 cm),,,"The game of chess probably originated in India, where ivory chess pieces have been found dating as far back as the eighth century. This set and board were made for the Western market but are distinguished from the majority of export pieces by their exquisitely intricate carving. The use of red and white figures instead of black and white is characteristic of sets produced in India.", What is the material used to create the chess set?, Lacquered wood and ivory, When was the chess set likely produced?, Circa 1800, Where did the game of chess most likely originate?, India, What distinguishes this chess set from other export pieces?, Its exquisitely intricate carving
9748,https://images.metmuseum.org/CRDImages/ad/original/DP-16170-037.jpg,Watch stand,Watch stand,,1800–1820,Ivory,10 3/16 x 7 1/2 x 3 7/8 in. (25.9 x 19.1 x 9.8 cm),,,"This ivory stand, made in India or China for export to the Western market, allowed for the upright display of a pocket watchivory", What is the name of the art?, Watch stand, When was the art created?, 1800–1820, What is the material used to create the stand?, Ivory, What is the purpose of the stand?, To display a pocket watch upright
38638,https://images.metmuseum.org/CRDImages/is/original/L_1994_44_O6.JPG,Huqqa base,Huqqa Base with Wheel-Cut Decoration,,early 19th century,Green glass; cut and inlaid with gold,"H. 7 1/2 in. (19.1 cm)
Diam. 6 1/4 in. (15.9 cm)",,Glass,"The materials, style and shape of this huqqa base bridge two important parts of our collection: Indian decorative arts and objects evidencing cultural exchange with Europe in the eighteenth and nineteenth centuries. The decorative floral forms are known in metal bidri huqqa bases from the seventeenth century, while the object itself may have been produced using European glass in the nineteenth century.", What is the name of the object?, Huqqa Base, What materials were used to create the object?," Green glass, cut and inlaid with gold", What is the approximate age of the object?, Early 19th century, How does the object bridge two important parts of a collection?, It combines decorative floral forms from Indian metal bidri huqqa bases with European glass production techniques.
443097,https://images.metmuseum.org/CRDImages/is/original/81_1_557  and .jpg,Armlet,"Armlet, One of a Pair",,19th century,Silver; cast and chased,"H. 4 1/4 in. (10.8 cm)
W. 2 3/4 in. (7 cm)",Chennai (Madras),Jewelry,"This type of armband (vanki) is in a style that is referred to as swami. Swami metalwork and jewels were produced in southern India during the mid- to late nineteenth century and are characterized by micro-repoussage depictions of the Hindu pantheon of deities. Here, the god Krishna plays the flute and is flanked by animals and gopis (milkmaids).The most well-known swami metalwork was produced in Madras by the Anglo-Indian Company P. Orr & Sons. Mail-order catalogues produced by this firm facilitated the circulation of swami metal objects and jewelry to places as far away as England, the United States, and Australia.", What is the object's name and type?," Armlet, One of a Pair", When was the armlet made?, 19th century, What materials were used to create the armlet?, Silver; cast and chased, Where was the armlet produced?," Chennai (Madras), southern India"
444557,https://images.metmuseum.org/CRDImages/is/original/DP-31460-001.jpg,Water container,Water Container (Ganga-Jumna Lota),,19th century,Brass and copper,"H. 5 1/2 in. (14 cm)
Diam. 5 in. (12.7 cm)
Wt. 32.7 oz. (927.1 g)",Thanjavur,Metal,"This lota, or water container, is probably based on earlier models of seventeenth-century India that also survived after the beginning of British rule in the region. Its checkerboard pattern, perhaps derived from early Hindu decoration, reflects Islamic influence as well—specifically, the prominance of geometric patterns in the Islamic world. The square unit exists not only in the checkerboard design but also as a repeated sequence of diamond shapes in the band above the vessel's belly. The technique of employing brass and copper together on the same object, unique to India, is called ganga-jumna, after the contrasting colors of the Ganges and Jumna rivers. The Museum's lota most likely was made in Thanjavur, known for its superior brass production in the nineteenth century.", What is the name of the art object?, Water Container (Ganga-Jumna Lota), When was the object created?, 19th century, What materials were used to make the object?, Brass and copper, Where was the object most likely made?, Thanjavur
444667,https://images.metmuseum.org/CRDImages/is/original/LC-91_1_1130.jpg,Armlet,Armlet,,19th century,Silver,,,Jewelry,"Jewelry in India was not restricted to wealthy members of society, but rather produced with varying materials to appeal to a range of economic classes. This armlet, or bazuband, has been made with a dark metal alloy embellished with beige-colored threads, and would have been owned by someone of modest means. Such jewels were worn on the upper bicep, adorning the arm of the wearer.", What is the name of the art?, Armlet, What is the material used to create the art?, Silver, What is the classification of the art?, Jewelry, Who was the target audience for this type of jewelry?, People of modest means
444674,https://images.metmuseum.org/CRDImages/is/original/LC_91_1_1137.jpg,Armlet,Armlet,,18th–19th century,Silver,,,Jewelry,"Armlets were an important element in the suite of jewels worn in India. This jewel would have been worn as one of a pair on each bicep. The present example has bells serving as the pendants, and this jewel would have had an incredible auditory component in addition to its attractive appearance. The small boxes on the main part of the bazuband resemble amulet boxes, and the shape may have had a talismanic function for the wearer.", What is the primary purpose of armlets in Indian culture?, An important element in the suite of jewels worn in India., What are some of the unique features of this particular armlet?," Bells serving as pendants, resulting in both visual and auditory appeal.", What is the material used to create this armlet?, Silver, What possible purpose do the small boxes on the armlet serve?," They resemble amulet boxes, suggesting a talismanic function for the wearer."
444681,https://images.metmuseum.org/CRDImages/is/original/91_1_1146.JPG,Jewelry,Marriage Pendant (Thali),,17th–19th century,Gold,"H: 1 3/4 in (4.4 cm)
W: 1 in (2.5 cm)
D: 7/8 in (2.2 cm)",Chennai (Madras),Jewelry,"Pendants such as these are known to be worn at weddings in South India on necklaces of glass beads or silk. The form is apotropaic and phallic, ensuring protection and fertility of the bride. The use of gold is particularly important as this material is considered to be sacred in Hinduism.", What is the name of the art?, Marriage Pendant (Thali), When was the art created?, 17th–19th century, What is the material used in the art?, Gold, What is the purpose of the art?, Worn at weddings in South India to ensure protection and fertility of the bride
444695,https://images.metmuseum.org/CRDImages/is/original/LC-91_1_1167.jpg,Bracelet,Bracelet (Pahunchi),,19th century,Silver,,,Jewelry,"This bracelet (pahunchi) is decorated on the exterior with seed-shaped ornaments. These small motifs are often understood as symbols of reproduction and fertility. Along with other plant components such as flowers, leaves, and vines, such forms are often found ornamenting Indian jewelry.", What type of object is described?, Bracelet, What is the title of the artwork?, Bracelet (Pahunchi), In what century was the bracelet created?, 19th century, What does the bracelet exterior symbolize?, Reproduction and fertility
444832,https://images.metmuseum.org/CRDImages/is/original/LC-95_14_12.jpg,Box,Rock Crystal Box,,18th century,"Rock crystal; inlaid with gold, inset with rubies","H. 1 1/2 in. (3.8 cm)
W. 3 in. (7.6 cm)
D. 2 in. (5.1 cm)",,Stone,"This intimately-sized container, carved from rock crystal, has gold inlay and is inset with rubies. While the original use of this object remains unknown, a similar piece in the collection, made in the same technique but without the hinge, was likely used as a perfume or lime container. Small precious objects were highly valued in Mughal court culture, as they were exchanged as gifts between nobles.", What is the material of the Box?," Rock crystal, gold, and rubies", When was the Box created?, 18th century, What is the size of the Box?, H. 1 1/2 in. (3.8 cm) x W. 3 in. (7.6 cm) x D. 2 in. (5.1 cm), What was the purpose of the Box?," The original use of the Box is unknown, but a similar piece in the collection without a hinge was likely used as a perfume or lime container."
