objectID,Question1,Answer1,Question2,Answer2,Question3,Answer3,Question4,Answer4,imagePath
448489, What is the title of the art?," ""Women Visiting a Hermit"", Folio from the Davis Album", What is the art's classification?, Codices, What materials were used to create the art?," Ink, opaque watercolor, and gold on paper", What is the significance of visitation scenes in 18th century Mughal painting?," Visitation scenes to holy men became a popular genre, with both male and female visitors being depicted.",input_dataset/images/448489.jpg
453079, What is the subject of the artwork?, The artwork depicts the ox Shanzabeh grazing in the territory of the lion king., When was the artwork created?, The artwork was created in the second quarter of the 16th century., What is the medium of the artwork?, The artwork is made using ink and opaque watercolor on paper., What is the cultural origin of the artwork?," The artwork has a strong flavor of Mamluk Egypt in its figure styles and bold drawings, with hints of Ottoman tulips and Safavid turbans, but it is suggested to have been copied from an Egyptian original in Sultanate Gujarat, which is attested by a Devanagari inscription at the end.",input_dataset/images/453079.jpg
457711, What is the title of this art?, Floral Canopy or Screen, What material is the art made of?, Cotton and gold leaf, How are the flowering plants applied to the textile?, Gold leaf is glued to the surface of the textile, What is the function of textiles similar to this one as seen in paintings?, Door or window screens and canopies,input_dataset/images/457711.jpg
452912, What type of fabric was used to create the textile fragment?, Cotton, What technique was utilized in dyeing the fragment?, Kalamkari (wax resist dyeing), What is the probable date range for the creation of this artwork?, 15th–16th century, What is the main design element depicted on the fabric?, A lotus-like flower and a sixteen-sided rosette,input_dataset/images/452912.jpg
448525, What is the medium used to create this textile fragment?," Cotton, plain weave; mordant and resist dyed", When was the textile fragment created?, 16th–17th century, What region was the textile fragment produced in?," Gujarat, India", What is the significance of the use of indigo dyes in this fragment?, The bold use of indigo dyes is characteristic of Gujarati textile design and exemplifies the popularity of these dyes during the 16th and 17th centuries.,input_dataset/images/448525.jpg
452310, What is the name of the art object?, Fragment of an Animal Carpet, When was the art object created?, Late 16th century, What materials were used to create the art object?," Cotton (warp and weft), wool (pile)", What is the significance of the imagery in the art object?," The theme of fantastic and grotesque animals was popular during the last quarter of the sixteenth century in Mughal India, inspired by the Indian makara-torana arch.",input_dataset/images/452310.jpg
451266, What is the name of the artwork?," ""A Youth Fallen From a Tree"", Folio from the Shah Jahan Album", Who is the artist of the artwork?, Aqa Riza, What is the medium used to create the artwork?," Ink, opaque watercolor, and gold on paper", What is the approximate date range when the artwork was created?, verso: ca. 1610; recto: ca. 1530,input_dataset/images/451266.jpg
444856, What type of art is it?, Coin, What is the title of the art?," Group of Zodiac Coins--Aries, Leo, Pisces, Taurus, Capricorn", What material is the art made of?, Silver, When was the art created?, dated 1027 AH/1617–18 CE,input_dataset/images/444856.jpg
453214, What is the object's name?, Game board, On which side of the board is chess played?, The side on display, What is the material and technique used in the creation of the game board?," Wood; painted, varnished, and gilded", How many different flower varieties can be identified on the board?, Eight,input_dataset/images/453214.jpg
448587, What is the name of the art object?, Panel, In what century was the art object made?, 17th century, What material is the art object made of?," Cotton; plain weave, mordant dyed and painted, resist-dyed", What is the possible original use of the art object?, Tent Lining (Qanat),input_dataset/images/448587.jpg
453151, What is the title of the art?," ""The Male Dove Pecking the Female Dove"", Folio from a Kalila wa Dimna", When was the art created?, Second quarter of the 16th century, What is the medium used in the art?, Ink and opaque watercolor on paper, What is the classification of the art?, Codices,input_dataset/images/453151.jpg
456964, What is the title of the art?, Qur'an Manuscript, When was the art created?, Late 18th–early 19th century, What is the medium used to create the art?," Ink, gold, and lapis on paper; leather binding", What is the style of illumination used in the art?, Blue and gold palette characteristic of Kashmiri production,input_dataset/images/456964.jpg
453136, What does the art depict?, A page of calligraphy from a Kalila wa Dimna manuscript., When was the art created?, Second quarter of the 16th century., What materials were used to create the art?, Ink and opaque watercolor on paper., What is the style of the art?," Mamluk Egypt, with hints of Ottoman and Safavid influences.",input_dataset/images/453136.jpg
446762, What is the name of this art?, Seven-Stranded Necklace (Satlari), When was this necklace made?, 18th century, What is this necklace made of?," Gold, enamel, pearls, and rock crystal", Where was this necklace made?, Hyderabad,input_dataset/images/446762.jpg
453089, What is the name of the artwork?," ""The Fish and the Fisherman"", Folio from a Kalila wa Dimna", What type of artwork is it?, Folio from an illustrated manuscript, What is the medium and dimensions of the artwork?, Ink and opaque watercolor on paper; Overall: H. 12 1/2 in. (31.8 cm) x W. 8 7/8 in. (22.6 cm), Where and when was the artwork created?," Sultanate Gujarat, second quarter 16th century",input_dataset/images/453089.jpg
446761, What is the name of the art object?, Head Ornament, What period is it from?, 19th century, What is the medium of the art object?, Gold and jewels, Where was it formerly kept?, In the collection of American artist and designer Lockwood de Forest,input_dataset/images/446761.jpg
453366, What is the primary purpose of this art piece?," To hold pan, a traditional digestif made with betel leaves.", What materials were used to create the box?," Zinc alloy, silver, and brass (bidri ware).", When was the box created?, Early to mid 17th century., What design style is dominant on the box's surface?, Arabesque designs.,input_dataset/images/453366.jpg
444867, What is the object's name?, Coin, What symbol is depicted on the coin?, Leo, In what year was the coin minted?, 1033 AH/1624 CE, Where was the coin minted?, Agra,input_dataset/images/444867.jpg
453085, What is the title of the art?," ""The Fox and the Battling Rams Observed by the Ascetic"", Folio from a Kalila wa Dimna", When was the art created?, Second quarter of the 16th century, What medium was used to create the art?, Ink and opaque watercolor on paper, What are some characteristics of the manuscript that suggest its possible origin in Sultanate Gujarat?, Burnt orange palette and darkly-inked lines,input_dataset/images/453085.jpg
453387, What is the subject of the art?," A royal decree, or firman.", When was the art created?, 1059 AH/1649–50 CE., What is the medium and dimensions of the art?," Ink on paper; H. 32 13/16 in. (83.3 cm), W. 16 5/8 in. (42.2 cm).", Who is the artist of the art?, The artist's name is unknown (artistDisplayName: None).,input_dataset/images/453387.jpg
453223, What is the medium used to create the textile fragment?," Wool, cotton, and silk", In what century was the textile fragment created?, Second half of the 17th century, What is the classification of the textile fragment?, Textiles-Rugs, What distinguishes the intermediate grade of carpets from the standard type?, Second wefts of red silk and a somewhat finer knot count,input_dataset/images/453223.jpg
453281, What is the name of the artwork?, Three Ornaments from a Bridle, When was the artwork created?, Mid-17th century, What materials were used to make the artwork?," Silver, stamped, punched, gilded", What is the significance of the fish motif on the ornaments?," It was part of the royal insignia in Mughal decorative objects, indicating the status of the horse or elephant adorned with them.",input_dataset/images/453281.jpg
453146, What is the name of the artwork?, Page of Calligraphy from a Kalila wa Dimna, When was the artwork created?, Second quarter 16th century, What is the medium used in the artwork?, Ink and opaque watercolor on paper, What is the style and origin of the artwork?," Mamluk Egyptian style, with hints of Ottoman tulips and Safavid turbans; possibly copied from an Egyptian original in Sultanate Gujarat",input_dataset/images/453146.jpg
451283, Who is depicted in the art?, The future emperor Shah Jahan and his son Dara Shikoh., When was the art created?, Verso: ca. 1620; recto: ca. 1530–50., What medium was used to create the art?," Ink, opaque watercolor, and gold on paper.", What is the classification of the art?, Codices.,input_dataset/images/451283.jpg
453059, What is the title of the art piece?, Page of Calligraphy from a Kalila wa Dimna, When was the art piece created?, Second quarter 16th century, What materials were used to create the art piece?, Ink and opaque watercolor on paper, What is the main subject matter of the manuscript the art piece comes from?, The famous tales of the jackals Kalila and Dimna,input_dataset/images/453059.jpg
453074, What is the title of the art?," ""The Merchant Listens to the Workman Playing Cymbals"", Folio from a Kalila wa Dimna", What is the medium used to create the art?, Ink and opaque watercolor on paper, When was the art created?, Second quarter 16th century, What is the origin of the stories depicted in the art?," Ancient Indian animal fables, the Panchatantra written by Vidyapati (Bidpai)",input_dataset/images/453074.jpg
446795, What is the name of the art?," Pendant (Jkumka), One of a Pair", In what century was the art created?, 19th century, What is the art made of?, Gold, What is the significance of the bell-shaped form of the art?, It is known as jhumka and is typically found on ear ornaments.,input_dataset/images/446795.jpg
717767, What is the title of the artwork?, Cotton Tree Flowers, When was the artwork created?, ca. 1800–1805, What is the medium used to create the artwork?, Ink and watercolor on paper, What is the name of the tree depicted in the artwork according to the Linnaean system?, Monadelphia Polyandra Bombax ceiba,input_dataset/images/717767.jpg
449105, What type of art is it?, Textile fragment, What is the title of the art?, Textile Panel of Chintz, When was it created?, 18th century, What is the medium used for this art?, Cotton; printed,input_dataset/images/449105.jpg
453095, What is the name of the art piece?, Folio from a Kalila wa Dimna, What materials were used to create the art piece?, Ink and opaque watercolor on paper, What is the cultural origin of the art piece?, Mamluk Egypt with influences from Ottoman and Safavid styles, What is the significance of the Devanagari inscription?, It indicates that the manuscript had a period of use in India.,input_dataset/images/453095.jpg
446788, What is the name of the art?," Hair / Ear Ornament, One of a Pair", What is the medium used to create the art?, Gold and silver, What is the purpose of the art?, To adorn the head and body of a woman as an elaborate ensemble of jewels, Where was the art originally from?, India,input_dataset/images/446788.jpg
448476, What is the title of the art?," ""Prince With his Courtiers and Musicians"", Folio from the Davis Album", What is the medium used to create the art?," Ink, opaque watercolor, and gold on paper", When was the art created?, Early 18th century, What is the thematic focus of the art?," A soulful prince and his attendants enjoying an evening of music and poetry, representing a nostalgic view of the Mughal heyday",input_dataset/images/448476.jpg
448472, What is the title of the art?," ""The Emperor Humayun Returning from a Journey Greets his Son"", Folio from a Manuscript of the Akbarnama. Folio from the Davis Album", Who created the art?, Abu'l Fazl, When was the art created?, ca. 1604, What is the medium of the art?," Ink, opaque watercolor, and gold on paper",input_dataset/images/448472.jpg
444863, What is the name of the art?, Coin with Sign of Libra, What is the medium used in the art?, Gold, In which year was this coin minted?, 1034 AH/1625 CE, What does the symbol on the coin represent?," The Libra zodiac sign, corresponding to the month of its minting",input_dataset/images/444863.jpg
448479, What is the title of the artwork?," ""Fireworks on the Night of Shab-i Barat Feast"", Folio from the Davis Album", What is the medium used in the artwork?," Ink, opaque watercolor, and gold on paper", What is the celebration depicted in the artwork?," The Shab-i Barat festival, a night of 'fortune and forgiveness'", What activities are shown in the artwork?, Women playing with sparklers while fireworks explode in the background and smoke rises into the night sky,input_dataset/images/448479.jpg
446799, What type of object is being described?, Bracelet, When was the bracelet created?, 19th century, What materials were used to create the bracelet?," Gold, rubies, and emerald", What is the significance of the animal heads featured on the bracelet?," The animal heads are makara heads, which represent a protective mythic water monster in Indian culture.",input_dataset/images/446799.jpg
835238, What is the name of this art?, Pilgrim Flask, What is the material and technique used to create this art?, Bronze; engraved, What is the approximate age of this art?, 17th century, What are some common decorative motifs found on Indian art that are featured in this piece?, Peacock and falcon,input_dataset/images/835238.jpg
446581, What is the title of the art?, Portrait of Emperor Jahangir, When was the art created?, ca. 1615–20, What materials were used to create the art?," Ink, opaque watercolor, and gold on paper", What is a distinctive feature of the portraiture style during Jahangir's reign?," The influence of European prints, leading to a more accurate and realistic depiction of the emperor.",input_dataset/images/446581.jpg
453124, What is the name of the manuscript that this folio is from?, Kalila wa Dimna, When was this folio created?, Second quarter 16th century, What materials were used to make this folio?, Ink and opaque watercolor on paper, What cultural influences are evident in this folio?," Mamluk Egyptian, Ottoman, and Safavid",input_dataset/images/453124.jpg
446991, What is the name of the art object?, Pen box, When was the pen box created?, 17th century, What is the pen box made of?," Ivory; carved, incised, and inlaid with black lacquer and gold", What were pen boxes used for in Mughal India?, To display wealth and were exchanged as royal gifts,input_dataset/images/446991.jpg
448465, What is the name of the art?," Illustrated album leaf: ""Portrait of a Noble in Gauzy White Costume"", Folio from the Davis Album", When was the art created?, Late 17th century, What materials were used to create the art?," Ink, opaque watercolor, and gold on paper", What are the dimensions of the art?, Page: 13 1/8 in. (33.3 cm) x 8 1/4 in. ( 21 cm)\r,input_dataset/images/448465.jpg
448213, What is the name of this art?, Kalamkari Rumal, When was this art created?, ca. 1640–50, What is the medium used in this art?," Cotton; plain weave, mordant painted and dyed, resist dyed", What type of artwork is it?, Textile-Painted and/or Printed,input_dataset/images/448213.jpg
447743, What is the subject of the art?, It depicts the spy Zambur bringing a maid named Mahiya to the city of Tawariq., When was the art created?, ca. 1570, What technique was used to create the art?," Ink, opaque watercolor, and gold on cloth; mounted on paper", What cultural influences are evident in the art?, A fusion of Persian and local Indian styles,input_dataset/images/447743.jpg
452813, What is the title of the art piece?, Flower-Style Box with Drawers, What material is the art piece made of?," Wood (poplar); overlaid with ebony inlaid with wood and incised, stained ivory", What design elements are featured in the art piece?," Rows of graceful flowering plants, coiled cloud bands, and flying birds", Why are there iron handles on the art piece?, The iron handles indicate that the box was used as a traveling chest,input_dataset/images/452813.jpg
446796, What type of art is it?, Pendant, What is the title of the art?," Pendant (Jkumka), One of a Pair", When was the art created?, 18th–19th century, What is the material used to make the art?, Gold,input_dataset/images/446796.jpg
